UNet | patch_size: 512 | pos_weight: 8.0

train 1/6:  21%|██▏       | 186/875 [01:18<04:51,  2.37it/s]
train 1/6:  21%|██▏       | 187/875 [01:19<04:50,  2.36it/s]
train 1/6:  21%|██▏       | 188/875 [01:19<04:50,  2.36it/s]
train 1/6:  22%|██▏       | 189/875 [01:19<04:50,  2.36it/s]
train 1/6:  22%|██▏       | 190/875 [01:20<04:49,  2.36it/s]
train 1/6:  22%|██▏       | 191/875 [01:20<04:49,  2.36it/s]
train 1/6:  22%|██▏       | 192/875 [01:21<04:49,  2.36it/s]
train 1/6:  22%|██▏       | 193/875 [01:21<04:48,  2.36it/s]
train 1/6:  22%|██▏       | 194/875 [01:21<04:48,  2.36it/s]
train 1/6:  22%|██▏       | 195/875 [01:22<04:47,  2.36it/s]
train 1/6:  22%|██▏       | 196/875 [01:22<04:47,  2.36it/s]
train 1/6:  23%|██▎       | 197/875 [01:23<04:47,  2.36it/s]
train 1/6:  23%|██▎       | 198/875 [01:23<04:46,  2.36it/s]
train 1/6:  23%|██▎       | 199/875 [01:24<04:46,  2.36it/s]
train 1/6:  23%|██▎       | 200/875 [01:24<04:45,  2.36it/s]
train 1/6:  23%|██▎       | 201/875 [01:24<04:45,  2.36it/s]
train 1/6:  23%|██▎       | 202/875 [01:25<04:45,  2.36it/s]
train 1/6:  23%|██▎       | 203/875 [01:25<04:44,  2.36it/s]
train 1/6:  23%|██▎       | 204/875 [01:26<04:44,  2.36it/s]
train 1/6:  23%|██▎       | 205/875 [01:26<04:43,  2.36it/s]
train 1/6:  24%|██▎       | 206/875 [01:27<04:43,  2.36it/s]
train 1/6:  24%|██▎       | 207/875 [01:27<04:42,  2.36it/s]
train 1/6:  24%|██▍       | 208/875 [01:27<04:42,  2.36it/s]
train 1/6:  24%|██▍       | 209/875 [01:28<04:42,  2.36it/s]
train 1/6:  24%|██▍       | 210/875 [01:28<04:41,  2.36it/s]
train 1/6:  24%|██▍       | 211/875 [01:29<04:41,  2.36it/s]
train 1/6:  24%|██▍       | 212/875 [01:29<04:41,  2.36it/s]
train 1/6:  24%|██▍       | 213/875 [01:30<04:40,  2.36it/s]
train 1/6:  24%|██▍       | 214/875 [01:30<04:40,  2.36it/s]
train 1/6:  25%|██▍       | 215/875 [01:30<04:39,  2.36it/s]
train 1/6:  25%|██▍       | 216/875 [01:31<04:39,  2.36it/s]
train 1/6:  25%|██▍       | 217/875 [01:31<04:39,  2.36it/s]
train 1/6:  25%|██▍       | 218/875 [01:32<04:38,  2.36it/s]
train 1/6:  25%|██▌       | 219/875 [01:32<04:38,  2.36it/s]
train 1/6:  25%|██▌       | 220/875 [01:33<04:37,  2.36it/s]
train 1/6:  25%|██▌       | 221/875 [01:33<04:37,  2.36it/s]
train 1/6:  25%|██▌       | 222/875 [01:33<04:36,  2.36it/s]
