/home/yuvalsi2/.conda/envs/crackseg/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
UNet | Train Samples: 7000 | Batches: 875

train 1/20:   0%|          | 0/875 [00:00<?, ?it/s]
train 1/20:   0%|          | 0/875 [00:01<?, ?it/s, loss=0.9057]
train 1/20:  10%|▉         | 87/875 [00:38<05:38,  2.33it/s, loss=0.7092]
train 1/20:  10%|▉         | 87/875 [00:38<05:38,  2.33it/s, loss=0.6641]
train 1/20:  10%|█         | 88/875 [00:38<05:38,  2.33it/s, loss=0.6641]
train 1/20:  10%|█         | 88/875 [00:38<05:38,  2.33it/s, loss=0.6834]
train 1/20:  10%|█         | 89/875 [00:38<05:37,  2.33it/s, loss=0.6834]
train 1/20:  10%|█         | 89/875 [00:39<05:37,  2.33it/s, loss=0.6705]
train 1/20:  10%|█         | 90/875 [00:39<05:37,  2.32it/s, loss=0.6705]
train 1/20:  10%|█         | 90/875 [00:39<05:37,  2.32it/s, loss=0.6815]
train 1/20:  10%|█         | 91/875 [00:39<05:37,  2.32it/s, loss=0.6815]
train 1/20:  10%|█         | 91/875 [00:40<05:37,  2.32it/s, loss=0.7596]
train 1/20:  11%|█         | 92/875 [00:40<05:37,  2.32it/s, loss=0.7596]
train 1/20:  11%|█         | 92/875 [00:40<05:37,  2.32it/s, loss=0.6439]
train 1/20:  11%|█         | 93/875 [00:40<05:37,  2.32it/s, loss=0.6439]
train 1/20:  11%|█         | 93/875 [00:41<05:37,  2.32it/s, loss=0.6521]
train 1/20:  11%|█         | 94/875 [00:41<05:36,  2.32it/s, loss=0.6521]
train 1/20:  11%|█         | 94/875 [00:41<05:36,  2.32it/s, loss=0.6537]
train 1/20:  11%|█         | 95/875 [00:41<05:36,  2.31it/s, loss=0.6537]
train 1/20:  11%|█         | 95/875 [00:41<05:36,  2.31it/s, loss=0.6353]
train 1/20:  11%|█         | 96/875 [00:41<05:36,  2.31it/s, loss=0.6353]
train 1/20:  11%|█         | 96/875 [00:42<05:36,  2.31it/s, loss=0.6786]
train 1/20:  11%|█         | 97/875 [00:42<05:35,  2.32it/s, loss=0.6786]
train 1/20:  11%|█         | 97/875 [00:42<05:35,  2.32it/s, loss=0.6229]
train 1/20:  11%|█         | 98/875 [00:42<05:34,  2.32it/s, loss=0.6229]
train 1/20:  11%|█         | 98/875 [00:43<05:34,  2.32it/s, loss=0.6566]
train 1/20:  11%|█▏        | 99/875 [00:43<05:34,  2.32it/s, loss=0.6566]
train 1/20:  11%|█▏        | 99/875 [00:43<05:34,  2.32it/s, loss=0.6417]
train 1/20:  11%|█▏        | 100/875 [00:43<05:34,  2.32it/s, loss=0.6417]
train 1/20:  11%|█▏        | 100/875 [00:44<05:34,  2.32it/s, loss=0.6008]
train 1/20:  12%|█▏        | 101/875 [00:44<05:33,  2.32it/s, loss=0.6008]
train 1/20:  12%|█▏        | 101/875 [00:44<05:33,  2.32it/s, loss=0.7341]
train 1/20:  12%|█▏        | 102/875 [00:44<05:33,  2.32it/s, loss=0.7341]
train 1/20:  12%|█▏        | 102/875 [00:44<05:33,  2.32it/s, loss=0.6325]
train 1/20:  12%|█▏        | 103/875 [00:44<05:33,  2.32it/s, loss=0.6325]
train 1/20:  12%|█▏        | 103/875 [00:45<05:33,  2.32it/s, loss=0.6258]
train 1/20:  12%|█▏        | 104/875 [00:45<05:32,  2.32it/s, loss=0.6258]
train 1/20:  12%|█▏        | 104/875 [00:45<05:32,  2.32it/s, loss=0.7136]
train 1/20:  12%|█▏        | 105/875 [00:45<05:32,  2.32it/s, loss=0.7136]
train 1/20:  12%|█▏        | 105/875 [00:46<05:32,  2.32it/s, loss=0.6689]
train 1/20:  12%|█▏        | 106/875 [00:46<05:31,  2.32it/s, loss=0.6689]
train 1/20:  12%|█▏        | 106/875 [00:46<05:31,  2.32it/s, loss=0.6308]
train 1/20:  12%|█▏        | 107/875 [00:46<05:31,  2.32it/s, loss=0.6308]
train 1/20:  12%|█▏        | 107/875 [00:47<05:31,  2.32it/s, loss=0.6307]
train 1/20:  12%|█▏        | 108/875 [00:47<05:31,  2.32it/s, loss=0.6307]
train 1/20:  12%|█▏        | 108/875 [00:47<05:31,  2.32it/s, loss=0.6237]
train 1/20:  12%|█▏        | 109/875 [00:47<05:30,  2.32it/s, loss=0.6237]
train 1/20:  12%|█▏        | 109/875 [00:47<05:30,  2.32it/s, loss=0.6512]
train 1/20:  13%|█▎        | 110/875 [00:47<05:29,  2.32it/s, loss=0.6512]
train 1/20:  13%|█▎        | 110/875 [00:48<05:29,  2.32it/s, loss=0.6807]
train 1/20:  13%|█▎        | 111/875 [00:48<05:29,  2.32it/s, loss=0.6807]
train 1/20:  13%|█▎        | 111/875 [00:48<05:29,  2.32it/s, loss=0.6235]
train 1/20:  13%|█▎        | 112/875 [00:48<05:29,  2.32it/s, loss=0.6235]
train 1/20:  13%|█▎        | 112/875 [00:49<05:29,  2.32it/s, loss=0.6817]
train 1/20:  13%|█▎        | 113/875 [00:49<05:28,  2.32it/s, loss=0.6817]
train 1/20:  13%|█▎        | 113/875 [00:49<05:28,  2.32it/s, loss=0.6762]
train 1/20:  13%|█▎        | 114/875 [00:49<05:28,  2.32it/s, loss=0.6762]
train 1/20:  13%|█▎        | 114/875 [00:50<05:28,  2.32it/s, loss=0.6569]
train 1/20:  13%|█▎        | 115/875 [00:50<05:28,  2.32it/s, loss=0.6569]
train 1/20:  13%|█▎        | 115/875 [00:50<05:28,  2.32it/s, loss=0.6568]
train 1/20:  13%|█▎        | 116/875 [00:50<05:27,  2.31it/s, loss=0.6568]
train 1/20:  13%|█▎        | 116/875 [00:51<05:27,  2.31it/s, loss=0.6319]
train 1/20:  13%|█▎        | 117/875 [00:51<05:27,  2.32it/s, loss=0.6319]
train 1/20:  13%|█▎        | 117/875 [00:51<05:27,  2.32it/s, loss=0.6786]
train 1/20:  13%|█▎        | 118/875 [00:51<05:26,  2.32it/s, loss=0.6786]
train 1/20:  13%|█▎        | 118/875 [00:51<05:26,  2.32it/s, loss=0.6286]
train 1/20:  14%|█▎        | 119/875 [00:51<05:27,  2.31it/s, loss=0.6286]
train 1/20:  14%|█▎        | 119/875 [00:52<05:27,  2.31it/s, loss=0.6824]
train 1/20:  14%|█▎        | 120/875 [00:52<05:26,  2.31it/s, loss=0.6824]
train 1/20:  14%|█▎        | 120/875 [00:52<05:26,  2.31it/s, loss=0.6761]
train 1/20:  14%|█▍        | 121/875 [00:52<05:25,  2.31it/s, loss=0.6761]
train 1/20:  14%|█▍        | 121/875 [00:53<05:25,  2.31it/s, loss=0.6342]
train 1/20:  14%|█▍        | 122/875 [00:53<05:25,  2.32it/s, loss=0.6342]
train 1/20:  14%|█▍        | 122/875 [00:53<05:25,  2.32it/s, loss=0.7463]
train 1/20:  14%|█▍        | 123/875 [00:53<05:25,  2.31it/s, loss=0.7463]
train 1/20:  14%|█▍        | 123/875 [00:54<05:25,  2.31it/s, loss=0.6829]
train 1/20:  14%|█▍        | 124/875 [00:54<05:24,  2.31it/s, loss=0.6829]
train 1/20:  14%|█▍        | 124/875 [00:54<05:24,  2.31it/s, loss=0.7337]
train 1/20:  14%|█▍        | 125/875 [00:54<05:23,  2.32it/s, loss=0.7337]
train 1/20:  14%|█▍        | 125/875 [00:54<05:23,  2.32it/s, loss=0.6645]
train 1/20:  14%|█▍        | 126/875 [00:54<05:23,  2.31it/s, loss=0.6645]
train 1/20:  14%|█▍        | 126/875 [00:55<05:23,  2.31it/s, loss=0.6620]
train 1/20:  15%|█▍        | 127/875 [00:55<05:23,  2.31it/s, loss=0.6620]
train 1/20:  15%|█▍        | 127/875 [00:55<05:23,  2.31it/s, loss=0.6703]
train 1/20:  15%|█▍        | 128/875 [00:55<05:23,  2.31it/s, loss=0.6703]
train 1/20:  15%|█▍        | 128/875 [00:56<05:23,  2.31it/s, loss=0.6986]
train 1/20:  15%|█▍        | 129/875 [00:56<05:22,  2.31it/s, loss=0.6986]
train 1/20:  15%|█▍        | 129/875 [00:56<05:22,  2.31it/s, loss=0.7138]
train 1/20:  15%|█▍        | 130/875 [00:56<05:22,  2.31it/s, loss=0.7138]
train 1/20:  15%|█▍        | 130/875 [00:57<05:22,  2.31it/s, loss=0.6191]
train 1/20:  15%|█▍        | 131/875 [00:57<05:21,  2.31it/s, loss=0.6191]
train 1/20:  15%|█▍        | 131/875 [00:57<05:21,  2.31it/s, loss=0.6665]
train 1/20:  15%|█▌        | 132/875 [00:57<05:21,  2.31it/s, loss=0.6665]
train 1/20:  15%|█▌        | 132/875 [00:57<05:21,  2.31it/s, loss=0.6552]
train 1/20:  15%|█▌        | 133/875 [00:57<05:20,  2.31it/s, loss=0.6552]
train 1/20:  15%|█▌        | 133/875 [00:58<05:20,  2.31it/s, loss=0.6657]
train 1/20:  15%|█▌        | 134/875 [00:58<05:19,  2.32it/s, loss=0.6657]
train 1/20:  15%|█▌        | 134/875 [00:58<05:19,  2.32it/s, loss=0.6862]
train 1/20:  15%|█▌        | 135/875 [00:58<05:20,  2.31it/s, loss=0.6862]
train 1/20:  15%|█▌        | 135/875 [00:59<05:20,  2.31it/s, loss=0.6505]
train 1/20:  16%|█▌        | 136/875 [00:59<05:20,  2.31it/s, loss=0.6505]
train 1/20:  16%|█▌        | 136/875 [00:59<05:20,  2.31it/s, loss=0.6134]
train 1/20:  16%|█▌        | 137/875 [00:59<05:19,  2.31it/s, loss=0.6134]
train 1/20:  16%|█▌        | 137/875 [01:00<05:19,  2.31it/s, loss=0.6173]
train 1/20:  16%|█▌        | 138/875 [01:00<05:19,  2.31it/s, loss=0.6173]
train 1/20:  16%|█▌        | 138/875 [01:00<05:19,  2.31it/s, loss=0.6596]
train 1/20:  16%|█▌        | 139/875 [01:00<05:18,  2.31it/s, loss=0.6596]
train 1/20:  16%|█▌        | 139/875 [01:00<05:18,  2.31it/s, loss=0.6126]
train 1/20:  16%|█▌        | 140/875 [01:00<05:18,  2.31it/s, loss=0.6126]
train 1/20:  16%|█▌        | 140/875 [01:01<05:18,  2.31it/s, loss=0.6798]
train 1/20:  16%|█▌        | 141/875 [01:01<05:17,  2.31it/s, loss=0.6798]
train 1/20:  16%|█▌        | 141/875 [01:01<05:17,  2.31it/s, loss=0.6340]
train 1/20:  16%|█▌        | 142/875 [01:01<05:16,  2.31it/s, loss=0.6340]
train 1/20:  16%|█▌        | 142/875 [01:02<05:16,  2.31it/s, loss=0.6658]
train 1/20:  16%|█▋        | 143/875 [01:02<05:16,  2.31it/s, loss=0.6658]
train 1/20:  16%|█▋        | 143/875 [01:02<05:16,  2.31it/s, loss=0.6235]
train 1/20:  16%|█▋        | 144/875 [01:02<05:16,  2.31it/s, loss=0.6235]
train 1/20:  16%|█▋        | 144/875 [01:03<05:16,  2.31it/s, loss=0.7591]
train 1/20:  17%|█▋        | 145/875 [01:03<05:15,  2.31it/s, loss=0.7591]
train 1/20:  17%|█▋        | 145/875 [01:03<05:15,  2.31it/s, loss=0.6206]
train 1/20:  17%|█▋        | 146/875 [01:03<05:15,  2.31it/s, loss=0.6206]
train 1/20:  17%|█▋        | 146/875 [01:03<05:15,  2.31it/s, loss=0.6617]
train 1/20:  17%|█▋        | 147/875 [01:03<05:15,  2.31it/s, loss=0.6617]
